,productnaam,prijs
338,western digital elements se 2tb 400ms/s read wdbayn0020bbk-wesn externe ssd,349
339,western digital my book externe harde schijf 18000 gb zwart,449
340,qnap ts-431k data-opslag-server ethernet lan toren wit nas nas,329
341,western digital wdbftm0040bsl-wesn externe harde schijf,160
342,western digital my passport externe harde schijf 2000 gb zwart,79
343,seagate firecuda 530 4tb m.2 ssd,569
344,startech.com external usb 3.2 gen1 sata m.2 ssd enclosure,35
345,icy box ib-1817m-c31 externe m.2 behuizing usb c grijs,37
346,samsung t7 touch 1tb zilver externe ssd,139
347,seagate one touch externe harde schijf 4000 gb zwart,105
348,lacie rugged usb-c 2tb mobile drive,126
349,lacie rugged usb-c 4tb mobile drive,187
350,"wd hdd 3.5"" 6tb 256mb wd60ezaz blue",174
351,"icy box ib-183m2 ssd enclosure m.2"" zwart",20
352,wd my cloud home 3tb,178
353,sandisk extreme portable v2 2000 gb zwart externe ssd,239
354,seagate expansion stkp4000400 externe harde schijf 4000 gb zwart,101
355,western digital black wd2003fzex 2tb,134
356,lexar nm760 1tb pci express 4.0 3d tlc nvme m.2 ssd,89
357,"intenso top performance 2.5"" 1tb ssd",69
358,"ewent ew7032 hdd-/ssd-behuizing 2.5"" zwart opslagbehuizing",18
359,"intenso top performance 2.5"" 512gb ssd",42
360,logilink adapter usb 2.0 to 2.5 + 3.5 ide + sata hdd otb,21
361,western digital p10 externe harde schijf 3000 gb zwart x-box,126
362,sandisk portable 1000 gb blauw externe ssd,102
363,sandisk g-drive armoratd externe harde schijf 1000 gb zwart,110
364,sandisk professional g- 1tb m.2-2280 1050mb/s usb-c 10gbps usb 3.2 gen 2 ultra-rugged porta externe ssd,319
365,western digital mypassport 500gb spacegrey wdbagf5000agy-wesn externe ssd,111
366,lacie rugged mini 2.5 2tb usb 3.0,116
367,qnap ts-231k 2-bay nas nas,199
368,"icy box ib-254u3 externe 2.5"" behuizing  usb 3.0",19
369,"western digital wd network, 4tb",185
370,"ewent ew7001 montagekit 2,5"" to 3,5"" ssd bracket",6
371,sandisk ultra 3d sata iii - [sdh3-2t00-g25] ssd,199
372,seagate expansion stkp16000400 externe harde schijf 16000 gb zwart,289
373,asustor as3302t data-opslag-server nas ethernet lan zwart rtd1296 nas,279
374,sandisk ultra 3d sata iii - [sdh3-1t00-g25] ssd,104
375,western digital wdbc3c0020bbl-wesn externe harde schijf,116
376,kingston kc600 2tb ssd,245
377,sandisk wd_black sn850 m.2 1000 gb pci express nvme ssd,139
378,"wd hdd 3.5"" 6tb s-ata3 256mb wd6003ffbx red pro",229
379,western digital p10 game drive externe harde schijf 2000 gb zwart,75
380,delock 61892 interne msata interface adapter,31
381,corsair mp600 pro xt hydro x edition 4000 gb pci express 4.0 3d tlc nand nvme m.2 ssd,719
382,"seagate skyhawk surveillance 3.5"" 4000 gb sata iii",95
383,seagate ironwolf 125 1tb ssd,209
384,wd mypassport 4tb externe ssd,509
385,seagate one touch stkg500400 500 gb zwart externe ssd,98
386,wd my passport ultra 2tb in zilver,109
387,wd red 500gb m.2 ssd,63
388,"wd hdd 3.5"" 4tb s-ata3 wd4003fryz gold",179
389,"wd hdd 3.5"" 14tb s-ata3 512mb wd141kfgx red pro",409
390,kioxia exceria 500 gb pci express 3.1a tlc nvme m.2 ssd,45
391,seagate one touch externe harde schijf 1000 gb zwart,59
392,seagate game drive hub for xbox externe harde schijf 8000 gb zwart,187
393,synology rackstation rs822+ nas,1089
394,qnap ts-664 nas tower ethernet lan nas,819
395,western digital my book externe harde schijf 12000 gb zwart,399
396,kingston fury renegade 4tb heatsink m.2 ssd,659
397,seagate one touch externe harde schijf 5000 gb zwart,119
398,sandisk professional g- 500gb m.2-2280 1050mb/s usb-c 10gbps usb 3.2 gen 2 ultra-rugged por externe ssd,188
399,logilink ad0019 interfacekaart/-adapter sata intern,13
400,"seagate hdd nas 3.5"" 18tb st18000ne000 ironwolf pro",449
401,wd my cloud home duo 12tb,430
402,wd my cloud home duo 16tb,609
403,intenso al premium 256gb grijs usb 3.2 gen.1 externe ssd,37
404,sandisk g-drive armoratd externe harde schijf 4000 gb zwart,189
405,"icy box ib-351stu3-b externe 3,5"" behuizing sata usb",49
406,inter-tech veloce gd-25612 usb powered,13
407,western digital red plus wd60efrx 6tb,249
408,lacie 2.5in usb3.1 type-c moon silver in externe harde schijf 5000 gb,194
409,western digital red plus wd30efrx 3tb,125
410,toshiba hdtx110ek3aa externe harde schijf 1000 gb grijs,64
411,western digital 3tb network nas,152
412,"seagate hdd nas 3.5"" 3tb st3000vn006 ironwolf",99
413,"wd hdd 3.5"" 18tb s-ata3 wd181kryz gold",479
414,wd black sn850 500gb heatsink m.2 ssd,162
